UCSC_igenome	mm10
2610528A11Rik	Gpr15lg
Fam213a	Prxl2a
Ero1l	Ero1a
1700011H14Rik	Ccdc198
3632451O06Rik	Armh4
Olfr722	Or4n5
Olfr723	Or4l1
Olfr724	Or4l15
Olfr725	Or4k15b
Olfr726	Or4k15c
Olfr727	Or4k15
Olfr728	Or4k1
Olfr729	Or4k5
Olfr730	Or4k2
Olfr731	Or4k6
Olfr732	Or4n4
Olfr733	Or4n4b
Olfr734	Or4m1
Olfr735	Or4q3
Olfr736	Or11j4
Olfr738	Or11g1
Olfr739	Or11g24
Olfr740	Or11g7
Olfr741	Or11g25
Olfr742	Or11g26
Olfr743	Or11g27
Olfr744	Or11g2
Olfr745	Or11h6
Olfr746	Or11h7
Olfr747	Or11h4b
Olfr748	Or11h23
Olfr749	Or11h4
Tmem55b	Pip4p1
Olfr750	Or6s1
Olfr221	Or5au1
Olfr1513	Or10g3b
Olfr1512	Or10g3
Olfr1511	Or10g1b
Olfr1510	Or10g1
Olfr1509	Or4e2
Olfr1508	Or4e1
Olfr1507	Or4e5
Olfr49	Or6e1
Lrrc16b	Carmil3
Cenpj	Cpap
N6amt2	Eef1akmt1
Gm10094	Sap18b
Gm6904	Phf11
Nupl1	Nup58
Fam160b2	Fhip2b
5031414D18Rik	Rubcnl
Spert	Cby2
4930564B18Rik	Erich6b
Lect1	Cnmd
Diap3	Diaph3
4921530L21Rik	Ccdc202
Irg1	Acod1
Rnf219	Obi1
Gm17066	Rbm26
LOC105245869	Sox21os1
Sepp1	Selenop
AW549877	Rimoc1
A630020A06	Gm2093
BC037032	Oxct1as
Fyb	Fyb1
2410089E03Rik	Cplane1
Ugt3a1	Ugt3a2
Ugt3a2	Ugt3a1
Tars	Tars1
Gm5803	Hnrnpa1l2-ps2
Fam134b	Retreg1
March11	Marchf11
Fam105a	Otulinl
March6	Marchf6
Fam173b	Atpsckmt
Hrsp12	Rida
Borg	Gm45924
Nov	Ccn3
Wdyhv1	Ntaq1
D15Ertd621e	Fam91a1
Trmt12	Tyw2
E430025E21Rik	Washc5
Fam84b	Lratd2
H2afy3	Macroh2a3
Fam49b	Cyrib
Lrrc6	Dnaaf11
Wisp1	Ccn4
2300005B03Rik	Slurp2
2010109I03Rik	Ly6m
Pycrl	Pycr3
Tsta3	Gfus
Gm10872	Mirt2
Cyhr1	Gm57852
Cyhr1	Zftraf1
Cyhr1	Tmem276
Tex33	Cimip4
Mkl1	Mrtfa
1700029P11Rik	Ndufb11b
Nhp2l1	Snu13
1500009C09Rik	Smim45
Sept3	Septin3
Fam109b	Pheta2
1810041L15Rik	Shisal1
Ldoc1l	Rtl6
Lincppara	Lncppara
Fam19a5	Tafa5
Selo	Selenoo
Odf3b	Cimap1b
ChkbCpt1b	Gm44502
Alg10b	Alg10
Olfr288	Or10ad1c
Olfr287	Or10ad1
Olfr286	Or10ad1b
H1fnt	H1f7
Olfr285	Or8s16
Olfr284	Or8s5
Olfr283	Or8s2
Olfr282	Or8s10
Olfr281	Or8s8
Olfr279	Or11m3
4930415O20Rik	Spmip11
1700030F18Rik	Fam186a
Mettl7a1	Tmt1a
Mettl7a3	Tmt1a3
Mettl7a2	Tmt1a2
Grasp	Tamalin
Krt83	Krt87
1700011A15Rik	Krt88
5430421N21Rik	Krt83
4732456N10Rik	Krt90
Atp5g2	Atp5mc2
Gm38436	Cistr
BC048502	Gtsf2
Spt1	Mucl2
Olfr161	Or1f19
Olfr15	Or2c1
4930451G09Rik	Dnaaf8
Sept12	Septin12
1810013L24Rik	Hapstr1
Mkl2	Mrtfb
3110001I22Rik	Bfar
2900011O08Rik	Bmerb1
Fopnl	Cep20
Efcab1	Clxn
Olfr19	Or7a40
Spag6	Spag6l
Vpreb1	Vpreb1a
Tmem191c	Tmem191
B830017H08Rik	Fam246a
Dgcr14	Ess2
Vpreb2	Vpreb1b
Gm24572	Mir3618
Sept5	Septin5
Ufd1l	Ufd1
Olfr164	Or2m12
Olfr165	Or2m13
Olfr166	Or2l13
Olfr167	Or2l5
Olfr168	Or2l13b
Olfr169	Or2aj4
Olfr170	Or2aj5
Olfr171	Or2aj6
Ece2	Eef1akmt4
Ece2	Eef1ece2
Tprg	Tprg1
Hrasls	Plaat1
Mfi2	Meltf
Tctex1d2	Dynlt2b
Gm933	Smbd1
1700021K19Rik	Rubcn
Dirc2	Slc49a4
Ccdc58	Mix23
Gm5483	Cstdc4
Gm5416	Csta3
2010005H15Rik	Csta2
BC117090	Cstdc6
BC100530	Cstdc5
Maats1	Cfap91
4930435E12Rik	Tex55
BC002163	Ndufs5-ps
Qtrtd1	Qtrt2
2610015P09Rik	Ccdc191
Gm608	Usf3
BC027231	Nepro
Gm609	Cd200l1
Gm4737	Ahcyl
Pvrl3	Nectin3
C330027C09Rik	Cip2a
5330426P16Rik	Dubr
Gm813	Ftdc1
E330017A01Rik	Ftdc2
Olfr172	Or5k1b
Olfr173	Or5k1
Olfr175-ps1	Or5k8
Olfr176	Or5k14
Olfr177	Or5k14
Olfr178	Or5k15
Olfr180	Or5k16
Olfr181	Or5k17
Olfr183	Or5h17
Olfr186	Or5h18
Olfr187	Or5h19
Olfr190	Or5h22
Olfr191	Or5h23
Olfr192	Or5h24-ps1
Olfr193	Or5h25
Olfr194	Or5ac15
Olfr195	Or5k3
Olfr196	Or5h26
Olfr198	Or5ac16
Olfr199	Or5ac17
Olfr201	Or5ac19
Olfr202	Or5ac20
Olfr203	Or5ac21
Olfr204	Or5ac22
Olfr205	Or5ac23
Olfr206	Or5ac24
Olfr209	Or5ac25
Mina	Riox2
Csnka2ip	Csnk2a2ip
Atp5j	Atp5pf
N6amt1	Hemk2
2310061N02Rik	Krtap13-22
2310034C09Rik	Krtap13-20
2310057N15Rik	Krtap13-21
Gm20741	Krtap13-24
Krtap15	Krtap15-1
Gm10229	Krtap6-3
Gm10228	Krtap6-7
1110025L11Rik	Krtap6-6
1110004E09Rik	Cfap298
4932438H23Rik	Epcip
Atp5o	Atp5po
4930563D23Rik	Fam243
Dopey2	Dop1b
Dscr3	Vps26c
Wrb	Get1
Gm9992	Unc93a2
Fgfr1op	Cep43
Qk	Qki
Park2	Prkn
Mllt4	Afdn
Gm3417	Dynlt2a3
Gm3448	Dynlt2a2
Tcte3	Dynlt2a1
9030025P20Rik	Ermardl2
Gm3435	Ermardl1
3110052M02Rik	Zfp983
2210404O09Rik	Zfp995
Gm4944	Zfp994
Ccdc64b	Bicdl2
Tceb2	Elob
1600002H07Rik	Tedc2
Slc9a3r2	Nherf2
Hn1l	Jpt2
Cramp1l	Cramp1
BC003965	Uqcc4
2810468N07Rik	Cerox1
Narfl	Ciao3
Fam173a	Antkmt
Fam195a	Mcrip2
0610011F06Rik	Mettl26
Tmem8	Pgap6
Itfg3	Fam234a
Hmga1-rs1	Hmga1b
AI413582	Smim29
D17Wsu92e	Ilrun
Uhrf1bp1	Bltp3a
4930539E08Rik	Bnip5
Rnf8-cmtr1	Gm28043
LOC102631757	Gm15318
4921501E09Rik	Phf8l
Olfr55	Or10h1b
Olfr239	Or10h1
Gm4461	Or10h5
Olfr63	Or10h28
March2	Marchf2
Gm27775	Mir6967-1
Gm27740	Mir6967-2
H2-Ke6	Hsd17b8
H2-Ea-ps	H2-Ea
BC051142	Tsbp1
Skiv2l	Skic2
Vars	Vars1
G6b	Mpig6b
Gm9573	Muc21
Dpcr1	Mucl3
Gm11127	H2-T27
C920025E04Rik	H2-T-ps
Gm7030	H2-T25
Gm8909	H2-T26
Znrd1	Polr1h
Znrd1as	Polr1has
Olfr90	Or2h2
Olfr91	Or2h1
Olfr92	Or2h2c
Olfr93	Or2h1b
Olfr94	Or2i1
Olfr95	Or10c1
Olfr96	Or11a4
Olfr97	Or1o2
Olfr98	Or1o3
Olfr99	Or1o4
Olfr101	Or12d12
Olfr102	Or12d2
Olfr103	Or12d13
Olfr107	Or1o1
Olfr108	Or1o11
Olfr109	Or12d17
Olfr110	Or5v1
Olfr111	Or5v1b
Olfr112	Or14j9
Olfr113	Or14j2
Olfr114	Or14j3
Olfr115	Or14j4
